restaurantid,name,address,city,state,country,postalCode,coordinates,stars,priceRange,cuisine
,Riviera Caterer,2780 Stillwell Avenue,Brooklyn,,US,11224.0,"(-73.98241999999999, 40.579505)",,,American
,Brunos On The Boulevard,8825 Astoria Boulevard,Queens,,US,11369.0,"(-73.8803827, 40.7643124)",,,American
,May May Kitchen,1269 Sutter Avenue,Brooklyn,,US,11208.0,"(-73.871194, 40.6730975)",,,Chinese
,1 East 66Th Street Kitchen,1 East   66 Street,Manhattan,,US,10065.0,"(-73.96926909999999, 40.7685235)",,,American
,Bully'S Deli,759 Broadway,Manhattan,,US,10003.0,"(-73.9925306, 40.7309346)",,,Delicatessen
,Carvel Ice Cream,1006 East 233 Street,Bronx,,US,10466.0,"(-73.84856870000002, 40.8903781)",,,"Ice Cream, Gelato, Yogurt, Ices"
,Tony'S Deli,1069 Wyckoff Avenue,Queens,,US,11385.0,"(-73.902463, 40.694924)",,,Delicatessen
,Domino'S Pizza,148 West   72 Street,Manhattan,,US,10023.0,"(-73.9806854, 40.7778589)",,,Pizza
,Happy Garden,277 East Kingsbridge Road,Bronx,,US,10458.0,"(-73.8941893, 40.8634684)",,,Chinese
,Plaza Bagels & Deli,73 New Dorp Plaza,Staten Island,,US,10306.0,"(-74.1178949, 40.5734906)",,,Delicatessen
,Berkely,437 Madison Avenue,Manhattan,,US,10022.0,"(-73.975393, 40.757365)",,,American
,Palm Restaurant,837 2 Avenue,Manhattan,,US,10017.0,"(-73.9712, 40.751703)",,,American
,Criminal Court Bldg Cafeteria,100 Centre Street,Manhattan,,US,10013.0,"(-74.0010484, 40.71599000000001)",,,American
,Nyac Main Dining Room,180 Central Park South,Manhattan,,US,10019.0,"(-73.9788694, 40.7665961)",,,American
,Tout Va Bien,311 West   51 Street,Manhattan,,US,10019.0,"(-73.98621899999999, 40.763406)",,,French
,Marchis Restaurant,251 East   31 Street,Manhattan,,US,10016.0,"(-73.9775552, 40.7432016)",,,Italian
,New Park Pizzeria & Restaurant,156-71 Crossbay Boulevard,Queens,,US,11414.0,"(-73.840437, 40.6627235)",,,Pizza/Italian
,White Horse Tavern,567 Hudson Street,Manhattan,,US,10014.0,"(-74.00619499999999, 40.735663)",,,American
,The New Starling Athletic Club Of The Bronx,2222 Haviland Avenue,Bronx,,US,10462.0,"(-73.84971759999999, 40.8304811)",,,American
,Shell Lanes,1 Bouck Court,Brooklyn,,US,11223.0,"(-73.9727638, 40.588853)",,,American
,Como Pizza,4035 Broadway,Manhattan,,US,10032.0,"(-73.9395182, 40.8422945)",,,Pizza
,Dorrian'S Red Hand Restaurant,1616 2 Avenue,Manhattan,,US,10028.0,"(-73.952449, 40.776325)",,,Irish
,Angelo Of Mulberry St.,146 Mulberry Street,Manhattan,,US,10013.0,"(-73.9973041, 40.7188698)",,,Italian
,Nostrand Donut Shop,1449 Nostrand Avenue,Brooklyn,,US,11226.0,"(-73.94933739999999, 40.6509823)",,,Donuts
,Le Perigord,405 East   52 Street,Manhattan,,US,10022.0,"(-73.9646207, 40.7550069)",,,French
,Spain Restaurant & Bar,113 West   13 Street,Manhattan,,US,10011.0,"(-73.9979214, 40.7371344)",,,Spanish
,Jahn'S Restaurant,8104 37 Avenue,Queens,,US,11372.0,"(-73.8850023, 40.7494272)",,,American
,Joe Allen Restaurant,326 West 46 Street,Manhattan,,US,10036.0,"(-73.989131, 40.760039)",,,American
,Reben Luncheonette,229 Havemeyer Street,Brooklyn,,US,11211.0,"(-73.9590059, 40.7090147)",,,American
